Code,Year,Emissions-Transfers
MUS,2009,-0.377
MUS,2010,-0.289
MUS,2011,-0.407
MUS,2012,-0.344
MUS,2013,-0.338
MUS,2014,-0.316
MUS,2015,-0.315
MUS,2016,-0.331
MUS,2017,-0.344
MWI,1990,-0.226
MWI,1991,-0.232
MWI,1992,-0.233
MWI,1993,-0.264
MWI,1994,-0.277
MWI,1995,-0.306
MWI,1996,-0.362
MWI,1997,-0.377
MWI,1998,-0.372
MWI,1999,-0.375
MWI,2000,-0.331
MWI,2001,-0.305
MWI,2002,-0.386
MWI,2003,-0.342
MWI,2004,-0.302
MWI,2005,-0.334
MWI,2006,-0.304
MWI,2007,-0.287
MWI,2008,-0.367
MWI,2009,-0.467
MWI,2010,-0.484
MWI,2011,-0.403
MWI,2012,-0.305
MWI,2013,-0.552
MWI,2014,-0.588
MWI,2015,-0.557
MWI,2016,-0.561
MWI,2017,-0.564
MYS,1990,-1.928
MYS,1991,-1.305
MYS,1992,-0.456
MYS,1993,0.879
MYS,1994,0.948
MYS,1995,4.224
MYS,1996,4.099
MYS,1997,1.700
MYS,1998,7.004
MYS,1999,2.695
MYS,2000,3.586
MYS,2001,4.497
MYS,2002,1.889
MYS,2003,5.468
MYS,2004,6.663
MYS,2005,7.467
MYS,2006,6.259
MYS,2007,6.329
MYS,2008,6.279
MYS,2009,6.308
MYS,2010,6.268
MYS,2011,4.661
MYS,2012,0.302
MYS,2013,-1.332
MYS,2014,-1.151
MYS,2015,-2.458
MYS,2016,-0.677
MYS,2017,-1.164
Middle East,1990,0.206
Middle East,1991,0.268
Middle East,1992,9.188
Middle East,1993,15.251
Middle East,1994,18.571
Middle East,1995,11.063
Middle East,1996,19.097
Middle East,1997,14.276
Middle East,1998,7.164
Middle East,1999,70.717
Middle East,2000,84.302
Middle East,2001,78.881
Middle East,2002,72.981
Middle East,2003,24.340
Middle East,2004,20.704
Middle East,2005,12.866
Middle East,2006,10.227
Middle East,2007,-14.819
Middle East,2008,-16.792
Middle East,2009,2.437
Middle East,2010,-8.225
Middle East,2011,-7.413
Middle East,2012,10.660
Middle East,2013,-10.547
Middle East,2014,-7.498
Middle East,2015,-4.861
Middle East,2016,5.415
Middle East,2017,5.170
NAM,1990,0.000
NAM,1991,0.000
NAM,1992,0.000
NAM,1993,0.000
NAM,1994,0.000
NAM,1995,0.000
NAM,1996,0.000
NAM,1997,0.000
NAM,1998,0.000
NAM,1999,0.000
NAM,2000,-1.171
NAM,2001,-1.213
NAM,2002,0.079
NAM,2003,-0.799
NAM,2004,-1.171
NAM,2005,-1.015
NAM,2006,-0.968
NAM,2007,-1.189
NAM,2008,-1.176
NAM,2009,-0.389
NAM,2010,-0.318
NAM,2011,-0.342
NAM,2012,-0.529
NAM,2013,-1.448
NAM,2014,-1.516
NAM,2015,-1.467
NAM,2016,-1.483
NAM,2017,-1.454
NGA,1990,1.652
NGA,1991,1.499
NGA,1992,1.081
NGA,1993,0.990
NGA,1994,0.236
NGA,1995,-0.052
NGA,1996,-0.166
NGA,1997,-1.406
NGA,1998,-1.044
NGA,1999,1.730
NGA,2000,5.737
NGA,2001,2.322
NGA,2002,3.932
NGA,2003,3.206
NGA,2004,3.289
NGA,2005,3.902
NGA,2006,9.760
NGA,2007,2.377
NGA,2008,3.472
NGA,2009,-2.107
NGA,2010,5.761
NGA,2011,9.018
NGA,2012,7.895
NGA,2013,3.018
NGA,2014,5.521
NGA,2015,3.925
NGA,2016,6.210
NGA,2017,7.747
NIC,1990,-0.112
NIC,1991,-0.143
NIC,1992,-0.138
NIC,1993,-0.143
NIC,1994,-0.148
NIC,1995,-0.144
NIC,1996,-0.128
NIC,1997,-0.173
NIC,1998,-0.202
NIC,1999,-0.216
NIC,2000,-0.208
NIC,2001,-0.231
NIC,2002,-0.266
NIC,2003,-0.323
NIC,2004,-0.279
NIC,2005,-0.335
NIC,2006,-0.335
NIC,2007,-0.373
NIC,2008,-0.307
NIC,2009,-0.347
NIC,2010,-0.379
NIC,2011,-0.380
NIC,2012,-0.509
NIC,2013,-0.394
NIC,2014,-0.388
NIC,2015,-0.369
NIC,2016,-0.353
NIC,2017,-0.346
NLD,1990,-12.719
NLD,1991,-13.605
NLD,1992,-11.992
NLD,1993,-12.477
NLD,1994,-12.684
NLD,1995,-13.946
NLD,1996,-10.757
NLD,1997,-10.977
NLD,1998,-12.642
NLD,1999,-7.285
NLD,2000,-7.248
NLD,2001,-4.954
NLD,2002,-6.682
NLD,2003,-3.680
NLD,2004,-3.396
NLD,2005,-4.531
NLD,2006,-11.012
NLD,2007,-1.421
NLD,2008,-1.640
NLD,2009,-2.066
NLD,2010,-0.423
NLD,2011,-0.410
NLD,2012,-0.051
NLD,2013,0.936
NLD,2014,0.257
NLD,2015,2.372
NLD,2016,2.973
NLD,2017,2.458
NOR,1990,-0.506
NOR,1991,-1.334
NOR,1992,-0.718
NOR,1993,-0.754
NOR,1994,-0.728
NOR,1995,-0.999
NOR,1996,-0.915
NOR,1997,-1.025
NOR,1998,-1.381
NOR,1999,2.654
NOR,2000,2.980
NOR,2001,3.594
NOR,2002,2.444
NOR,2003,1.286
NOR,2004,1.160
NOR,2005,-0.038
NOR,2006,-1.228
NOR,2007,-2.044
NOR,2008,-2.025
NOR,2009,-1.349
NOR,2010,-1.320
NOR,2011,-1.858
NOR,2012,-1.745
NOR,2013,-1.394
NOR,2014,-1.302
NOR,2015,-1.030
NOR,2016,-1.163
NOR,2017,-1.557
NPL,1990,-0.110
NPL,1991,-0.121
NPL,1992,-0.118
NPL,1993,-0.127
NPL,1994,-0.139
NPL,1995,-0.129
NPL,1996,-0.137
NPL,1997,-0.103
NPL,1998,-0.537
NPL,1999,-0.851
NPL,2000,-0.240
NPL,2001,-0.217
NPL,2002,-0.327
NPL,2003,-0.594
NPL,2004,-0.437
NPL,2005,-0.405
NPL,2006,-0.461
NPL,2007,-0.544
NPL,2008,-0.568
NPL,2009,-0.957
NPL,2010,-1.283
NPL,2011,-1.358
NPL,2012,-1.294
NPL,2013,-1.764
NPL,2014,-1.795
NPL,2015,-1.716
NPL,2016,-1.667
NPL,2017,-1.697
NZL,1990,-0.311
NZL,1991,-0.249
NZL,1992,-0.152
NZL,1993,-0.275
NZL,1994,-0.290
NZL,1995,-0.691
NZL,1996,-0.795
NZL,1997,-0.740
NZL,1998,-0.447
NZL,1999,-1.256
NZL,2000,-0.856
NZL,2001,-0.588
NZL,2002,-0.784
NZL,2003,-0.572
NZL,2004,-1.080
NZL,2005,-1.074
NZL,2006,-0.543
NZL,2007,-0.995
NZL,2008,-1.114
NZL,2009,-0.426
NZL,2010,-0.537
NZL,2011,-1.080
NZL,2012,-0.894
NZL,2013,-1.104
NZL,2014,-1.146
NZL,2015,-1.007
NZL,2016,-1.201
NZL,2017,-1.152
Non KP Annex B,1990,72.772
Non KP Annex B,1991,59.414
Non KP Annex B,1992,81.941
Non KP Annex B,1993,96.016
Non KP Annex B,1994,104.044
Non KP Annex B,1995,114.295
Non KP Annex B,1996,118.611
Non KP Annex B,1997,125.871
Non KP Annex B,1998,148.999
Non KP Annex B,1999,188.850
Non KP Annex B,2000,221.239
Non KP Annex B,2001,207.381
Non KP Annex B,2002,241.045
Non KP Annex B,2003,228.413
Non KP Annex B,2004,276.694
Non KP Annex B,2005,292.243
Non KP Annex B,2006,347.705
Non KP Annex B,2007,354.314
Non KP Annex B,2008,347.273
Non KP Annex B,2009,309.753
Non KP Annex B,2010,322.966
Non KP Annex B,2011,377.551
Non KP Annex B,2012,344.349
Non KP Annex B,2013,316.274
Non KP Annex B,2014,327.289
Non KP Annex B,2015,304.389
Non KP Annex B,2016,296.243
Non KP Annex B,2017,314.931
Non-OECD,1990,232.999
Non-OECD,1991,278.931
Non-OECD,1992,232.856
